,Estimate,Date,HCP Id,Customer Tags,Zip,Description,Amount,Labor,Materials,Win_Loss,Bid Employee,Crew,Latitude,Longitude,Total Income,Subcontractor,Total Supplies,Total Cost of Goods Sold,Net Income
973,9742,6/3/2020 11:30,57680771,,80129,Exterior Residential Painting - Exterior Preparation,3440,2480,960,0,2,,39.533656,-104.993796,,,,,
974,9735,6/1/2020 14:30,57682016,,80021,Exterior Residential Painting - Exterior Preparation,4380,3330,1050,1,2,,39.867598,-105.08863,4380,1900,0,1900,2173.4
975,9741,6/2/2020 15:30,57692948,,80126,Exterior Residential Painting - Exterior Preparation,4890,3850,1040,1,2,,39.556532,-104.976499,4750,2150,759.75,2909.75,1840.25
976,9746,6/3/2020 10:30,57699367,,80215,Exterior Residential Painting - Exterior Preparation,4110,3270,840,1,2,,39.732666,-105.112481,4240,1850,567.2,2417.2,1526
977,9749,6/4/2020 15:30,57790987,,80228,Exterior Residential Painting - Exterior Preparation,5640,4260,1380,0,2,,39.674656,-105.172612,,,,,
978,9747,6/3/2020 12:00,57807023,,80128,Exterior Residential Painting - Exterior Preparation,5300,4280,1020,0,2,,39.567376,-105.08427,,,,,
979,9745,6/3/2020 9:00,57814968,,80026,Exterior Residential Painting - Exterior Preparation,5240,4220,1020,1,2,,39.980327,-105.111654,5140,2350,1118.03,3468.03,1315.67
980,9753,6/4/2020 15:30,57836628,,80016,Exterior Residential Painting - Exterior Preparation,3865,3055,1060,1,1,,39.625393,-104.703016,3965,1975,470.1,2445.1,1519.9
981,9730,,57845524,,80021,Paint decorative pillars and archway to match butter cookie walls ,2075,2075,0,0,2,,39.871414,-105.098358,,,,,
982,9751,6/4/2020 13:30,57899015,,80134,Interior Walls and Ceilings-2Coats,4910,4230,880,1,1,,39.508914,-104.787965,4910,3150,0,3150,1760
983,9732,6/2/2020 13:00,57904367,,80015,Exterior Residential Painting - Exterior Preparation,4155,3295,1060,0,1,,39.622076,-104.811739,,,,,
984,9752,6/4/2020 14:30,57972940,,80016,Exterior Residential Painting - Exterior Preparation,5870,4765,1105,1,1,,39.607112,-104.751767,5870,2950,889.49,3839.49,2030.51
985,9848-1,6/16/2020 12:30,57991444,,80226,Exterior Residential Painting - Exterior Preparation,2740,2320,420,0,2,,39.722665,-105.076233,,,,,
986,9848-2,6/16/2020 12:30,61138404,,80226,Lime Wash All Brick Surfaces,2590,2200,390,0,2,,39.722665,-105.076233,,,,,
987,9848-3,6/16/2020 12:30,61138438,,80226,Replace vinyl with James Hardie Siding,4800,4800,0,0,2,,39.722665,-105.076233,,,,,
988,9740,6/9/2020 12:00,58031904,,80238,Exterior Residential Painting - Exterior Preparation,5410,4650,960,0,1,,39.765367,-104.880574,,,,,
989,9788,6/16/2020 8:00,58051741,,80238,Exterior Residential Painting - Exterior Preparation,3885,3140,995,0,1,,39.75929,-104.87033,,,,,
990,9787,6/12/2020 16:00,58067014,,80016,Master Bedroom,1135,900,235,1,1,,39.599273,-104.721624,,,,,
991,9743,6/4/2020 9:30,58071529,online,80247,Exterior Residential Painting - Exterior Preparation,3850,2855,995,0,1,,39.693486,-104.879242,,,,,
992,9744,6/9/2020 14:00,58072247,Referral,80238,Exterior Residential Painting - Exterior Preparation,4950,4235,915,1,1,,39.794247,-104.889106,4950,2850,1110.13,3960.13,989.87
993,9791,6/12/2020 12:30,58158230,,80111,Kitchen Cabinets - Cabinet Preparation,4470,4060,410,1,1,,39.620053,-104.861841,,,,,
994,9780,6/12/2020 14:30,58174520,,80126,Exterior Residential Painting - Exterior Preparation,5490,4130,1360,0,2,,39.531729,-104.963535,,,,,
995,9822,6/25/2020 10:00,58209495,,80238,Exterior Residential Painting - Exterior Preparation,4845,3555,1590,1,1,,39.794489,-104.89015,4845,2300,0,2300,2545
996,9748,,58223407,,80238,Exterior Residential Painting - Exterior Preparation,4980,4110,1170,1,,,39.76099,-104.89351,4980,,0,0,4980
997,9785,6/16/2020 15:30,58329579,,80016,Exterior Residential Painting - Exterior Preparation,5890,4750,1390,1,1,,39.583475,-104.693066,5890,3300,787.41,4087.41,1737.25
998,9754,,58344220,,80016,Exterior Residential Painting - Exterior Preparation,4925,3850,1075,1,,,39.580525,-104.696783,4925,3000,747.09,3747.09,1177.91
999,9792,6/17/2020 13:00,58440656,,80238,Exterior Residential Painting - Exterior Preparation,4920,4080,1040,0,1,,39.790543,-104.89523,,,,,
1000,9756,,58616562,,80547,Exterior Residential Painting - Exterior Preparation,3985,3010,1225,1,,,40.512871,-104.951506,,,,,
1001,9814,6/17/2020 17:00,58680214,,80220,Exterior Residential Painting - Exterior Preparation,5450,4305,1345,0,1,,39.742823,-104.913834,,,,,
1002,9757,6/15/2020 13:00,58688028,google,80238,Exterior Residential Painting - Exterior Preparation,4495,3675,1070,0,1,,39.790617,-104.894055,,,,,
1003,9758,,58714315,,80221,Interior Painting - Living Room,1940,1940,0,1,2,,39.825594,-104.995842,20660,8825,138.31,8963.31,11560.89
1004,9764,6/15/2020 12:00,58940968,,80123,Interior Painting - Living Room,1280,980,300,0,2,,39.636116,-105.094903,20660,8825,138.31,8963.31,11560.89
1005,10118-1,,72329339,,80228,Cabinets - Cabinet Preparation,15220,13670,1550,1,,,39.669724,-105.171917,20660,8825,138.31,8963.31,11560.89
1006,10118-2,,72330140,,80228,Interior Painting - Ceilings - 2 Coats,5740,5110,630,0,,,39.669724,-105.171917,20660,8825,138.31,8963.31,11560.89
1007,10118-3,,72883938,,80228,Interior Painting - All upstairs ceilings,2470,2000,470,0,,,39.669724,-105.171917,20660,8825,138.31,8963.31,11560.89
1008,10247,,79640783,,80228,Interior Painting - Basement Main Room Walls - 2 Coats,1080,880,200,1,,,39.669724,-105.171917,20660,8825,138.31,8963.31,11560.89
1009,9760,,58897816,,80238,Clean New Decking,2000,1815,185,1,,,39.806918,-104.869454,0,1000,0,1000,-1000
1010,9761,,58901148,,80014,,0,0,0,1,,,39.662931,-104.840141,,,,,
1011,9784-1,6/16/2020 14:30,58906386,,80016,Exterior Residential Painting - Exterior Preparation,3950,3140,1060,1,1,,39.607754,-104.695949,3950,1750,661.38,2411.38,1538.62
1012,9784-2,6/16/2020 14:30,59461295,,80016,Interior Walls-2 Coats,2980,2440,715,0,1,,39.607754,-104.695949,3950,1750,661.38,2411.38,1538.62
1013,9798-1,6/16/2020 12:30,58935211,,80126,Exterior Residential Painting - Exterior Preparation,5240,4180,1060,1,2,,39.538654,-104.979989,5860,2430,872.14,3302.14,2147.66
1014,9798-2,6/16/2020 12:30,59735326,,80126,Wood replacement and repair,1930,1600,330,0,2,,39.538654,-104.979989,5860,2430,872.14,3302.14,2147.66
1015,9763,,58940332,,80238,,0,0,0,1,,,39.754508,-104.89818,,,,,
1016,9797,6/17/2020 11:30,58943452,,80126,Exterior Residential Painting - Exterior Preparation,4185,3145,1040,0,2,,39.538307,-104.941491,,,,,
1017,9765,6/16/2020 10:30,58952019,,80026,Exterior Residential Painting - Exterior Preparation,1740,1470,370,1,2,,39.98052,-105.111495,1615,650,329.53,979.53,522.42
1018,9766-1,,58953305,,80120,Kitchen,2240,2240,0,0,2,,39.618486,-105.003181,,,,,
1019,9766-2,,59034450,,80120,Kitchen,9500,9500,0,0,,,39.618486,-105.003181,,,,,
1020,9767,,58955568,,80129,Paint Kitchen Walls,6340,6340,0,0,,,39.538055,-104.998475,,,,,
1021,9768,,58967752,,80130,Exterior Residential Painting - Exterior Preparation,5430,4330,1100,0,,,39.529894,-104.923796,,,,,
1022,9769,6/16/2020 13:00,59004798,,80128,Exterior Residential Painting - Exterior Preparation,4620,3650,970,1,2,,39.569655,-105.088445,4620,2100,764.31,2864.31,1432.29
1023,9771,6/15/2020 14:00,59011797,,80023,Exterior Residential Painting - Exterior Preparation,16470,12770,3700,0,2,,39.994304,-105.01765,,,,,
1024,9823,6/25/2020 17:00,59027397,,80015,Exterior Residential Painting - Exterior Preparation,3890,3115,1025,0,1,,39.621339,-104.740608,,,,,
1025,9773-1,6/17/2020 13:30,59062405,,80238,Breakfast Bar,2125,1855,270,0,1,,39.791117,-104.890986,,,,,
1026,9773-2,6/17/2020 13:30,60270666,,80238,Kitchen Cabinet Preparation,3620,3160,460,0,1,,39.791117,-104.890986,,,,,
1027,9773-3,6/17/2020 13:30,60270953,,80238,Main Area,2635,2140,495,0,1,,39.791117,-104.890986,,,,,
1028,9774,,59078650,,80111,Paint first smaller bedroom,1340,1050,290,0,,,39.596096,-104.915613,,,,,
1029,9775,,59081579,"no review,noreview",80124,Siding replacement and painting,520,480,40,1,2,,39.547881,-104.893887,440,225,14.35,239.35,200.65
1030,9776,,59082184,,80112,Repair drywall and paint Master Bedroom walls and ceiling,1870,1360,510,0,,,39.594195,-104.921197,,,,,
1031,9790-1,6/17/2020 17:00,59083493,,80126,Paint Kitchen Walls,5400,5400,0,0,2,,39.539017,-104.962181,,,,,
1032,9790-2,6/17/2020 17:00,59653238,,80126,Cabinets - Cabinet Preparation,3120,2940,180,0,2,,39.539017,-104.962181,,,,,
1033,9790-3,6/17/2020 17:00,59653355,,80126,Paint Basement Main Room Walls,1220,930,290,0,2,,39.539017,-104.962181,,,,,
1034,9777,6/18/2020 14:00,59202354,Referral,80013,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,1,1,,39.669256,-104.76279,0,1700,806.97,2506.97,-2506.97
1035,9794,6/18/2020 13:30,59233312,no review,80016,Interior Main Area,3570,3060,710,1,1,,39.602593,-104.778271,3570,1200,250,1450,2120
1036,9779,6/17/2020 12:00,59251417,Facebook,80128,Exterior Residential Painting - Exterior Preparation,4420,3200,1220,1,2,,39.588487,-105.102869,4420,1875,843.77,2718.77,1382.73
1037,9781,6/16/2020 11:30,59268695,Referral,80231,Exterior Residential Painting - Exterior Preparation,4875,4135,1090,1,1,,39.691279,-104.892791,4875,2300,0,2300,2575
1038,9782,6/17/2020 14:30,59427230,,80205,Interior Painting-Walls and Ceilings,6860,5945,915,1,1,,39.751567,-104.974902,6860,3100,1336.29,4436.29,2423.71
1039,9815,6/23/2020 17:00,59480560,,80015,Exterior Residential Painting - Exterior Preparation,4300,3410,1090,0,1,,39.611385,-104.719156,,,,,
1040,9786-1,6/25/2020 10:30,59553815,no review,,KItchen Cabinets - Cabinet Preparation,3655,3130,525,1,1,,0,0,8000,5050,614.98,5664.98,2335.02
1041,9786-2,6/25/2020 10:30,60213458,no review,,Exterior Residential Painting - Exterior Preparation,5210,3815,1595,1,1,,0,0,8000,5050,614.98,5664.98,2335.02
1042,9789,6/22/2020 13:00,59633539,Referral,80012,Living Room and Dining Room,785,635,150,0,1,,39.684938,-104.861615,,,,,
1043,10731,7/29/2021 12:00,97522088,,80012,"Painting quotes - Free interior consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,1,4,,39.684938,-104.861615,,,,,
1044,9796,6/25/2020 14:00,59727792,Nextdoor,80134,Exterior Residential Painting - Exterior Preparation,4480,3625,1105,0,1,,39.516514,-104.791439,,,,,
1045,9800,6/23/2020 11:00,59765162,Referral,80134,Exterior Residential Painting - Exterior Preparation,4385,3505,1080,1,1,,39.518901,-104.785386,,,,,
1046,9801,6/24/2020 14:00,60003067,,80220,"Painting quotes - Free Cabinet Painting Estimate: (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,1,1,,39.725342,-104.90463,,,,,
1047,9802,6/24/2020 14:00,60054033,,80123,"Painting quotes - Free interior consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,1,2,,39.634053,-105.103527,,,,,
1048,9803,6/24/2020 15:30,60054630,,80015,Wrought Iron Fence Prep,4870,4090,780,1,1,,39.625233,-104.820564,4870,2000,209.44,2209.44,2660.56
1049,9804-1,6/25/2020 12:00,60055075,,80016,Exterior Residential Painting - Exterior Preparation,5885,4215,1910,1,1,,39.598313,-104.727277,7165,3650,0,3650,3515
1050,9804-2,6/25/2020 12:00,60444809,,80016,Deck Prep,920,705,215,1,1,,39.598313,-104.727277,7165,3650,0,3650,3515
1051,9805,6/25/2020 15:00,60055518,,80014,Upstairs Bedrooms and Restroom,1585,1250,335,0,1,,39.643508,-104.820405,,,,,
1052,9806,6/25/2020 15:00,60055939,,80126,Paint front living room/entry/stairwell - walls only,955,760,195,1,2,,39.528246,-104.950996,715,310,108.64,418.64,246.31
1053,9807,6/25/2020 16:00,60056332,,80016,Exterior Residential Painting - Exterior Preparation,4495,3660,1135,1,1,,39.61769,-104.704954,4495,2400,0,2400,2095
1054,9808,6/26/2020 15:00,60056825,,80134,Exterior Residential Painting - Exterior Preparation,4460,3540,1120,1,1,,39.516789,-104.792389,4460,2200,198.56,2398.56,2061.44
1055,9809,6/29/2020 13:00,60057114,,80238,Exterior Residential Painting - Exterior Preparation,4495,3630,1115,1,1,,39.7504,-104.893143,3995,2600,470.1,3070.1,924.9
1056,9811,6/30/2020 10:00,60066254,,80134,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,1,1,,39.522302,-104.781784,,,,,
1057,9812-1,,60073292,,80126,Exterior Residential Painting - Exterior Preparation,4740,3680,1060,0,,,39.556764,-104.960671,,,,,
1058,9812-2,,60075373,,80126,Prep and Paint 4 Back Doors on Deck,690,550,140,0,,,39.556764,-104.960671,,,,,
1059,9813,6/26/2020 7:30,60098379,,80017,Exterior Residential Painting - Exterior Preparation,3995,3140,1105,1,1,,39.692536,-104.760839,3995,2150,0,2150,1845
1060,9816,6/29/2020 16:00,60158827,google,80014,"Fascia, Columns and garage Trim",2450,2355,365,1,1,,39.67792,-104.853541,2450,1300,0,1300,1150
1061,9839,6/30/2020 17:00,60239631,,80220,Exterior Residential Painting - Exterior Preparation,5940,5680,260,1,1,,39.726648,-104.933672,,,,,
1062,9817-1,6/29/2020 15:00,60291579,Facebook,80238,Exterior Residential Painting - Exterior Preparation,4860,3910,1200,1,1,,39.78858,-104.884732,5845,2700,1024.74,3724.74,2120.26
1063,9817-2,6/29/2020 15:00,60727321,Facebook,80238,Fence,985,785,200,1,1,,39.78858,-104.884732,5845,2700,1024.74,3724.74,2120.26
1064,9835,6/30/2020 8:00,60304612,,80015,Stairway,1630,1300,330,0,1,,39.626382,-104.785025,,,,,
1065,9836,7/2/2020 10:00,60312492,,80015,Exterior Residential Painting - Exterior Preparation,4085,3390,995,0,1,,39.62265,-104.75148,,,,,
1066,9827,6/29/2020 12:00,60393545,,80016,Exterior Residential Painting - Exterior Preparation,4340,3645,1095,1,1,,39.584224,-104.685478,,,,,
1067,9819,6/30/2020 12:00,60399569,google,80123,"Repair Siding damage, replace trim board, and paint",320,320,0,0,2,,39.600899,-105.076838,,,,,
1068,9820,6/30/2020 15:00,60416362,Referral,80134,Exterior Residential Painting - Exterior Preparation,4600,3990,1135,1,1,,39.511362,-104.803536,4600,2300,551.59,2851.59,1748.41
1069,9821,7/1/2020 13:00,60431435,google,80210,Trim Replacement-Home and Garage,14435,12825,1610,0,1,,39.676626,-104.962315,,,,,
1070,9824,,60502909,,80134,Family Room,1395,1080,315,0,,,39.438576,-104.75181,,,,,
1071,9843,7/1/2020 14:00,60530085,google,80465,"Interior Painting - Stairwell walls,  ceilings and trim",4950,3710,1240,1,2,,39.629973,-105.155054,4950,2600,1050.81,3650.81,1299.19
1072,9840,7/1/2020 17:00,60570070,,80014,Front Reveal,3340,2560,780,0,1,,39.665736,-104.848818,,,,,
1073,9826-1,7/6/2020 12:00,60577978,Referral,80117,Exterior Preparation-Home,11695,10000,1695,1,1,,39.262461,-104.441902,23030,13900,2275.3,16175.3,6854.7
1074,9826-2,7/6/2020 12:00,61268073,Referral,80117,Interior Walls 2 Coats,8205,7245,960,0,1,,39.262461,-104.441902,23030,13900,2275.3,16175.3,6854.7
1075,9826-3,7/6/2020 12:00,61449451,Referral,80117,Cabinets - Cabinet Painting,2240,2240,0,1,1,,39.262461,-104.441902,23030,13900,2275.3,16175.3,6854.7
1076,9841-1,7/2/2020 12:30,60615176,,80016,Exterior Residential Painting - Exterior Preparation,4220,3230,990,0,1,,39.601463,-104.689499,,,,,
1077,9841-2,7/2/2020 12:30,61063419,,80016,Deck and Pergola,1690,1690,0,0,1,,39.601463,-104.689499,,,,,
1078,9837,7/2/2020 8:00,60695191,,80238,Exterior Residential Painting - Exterior Preparation,4850,3930,1120,1,1,,39.763222,-104.892335,5390,2950,780.25,3730.25,1659.75
1079,9830,7/6/2020 13:00,60761401,Facebook,80129,Exterior Residential Painting - Exterior Preparation,3960,3020,940,1,2,,39.545445,-105.008472,,,,,
1080,9831,7/6/2020 13:00,60789949,"80015,Exterior,Archive",80015,Exterior Residential Painting - Exterior Preparation,3435,3130,605,1,1,,39.612396,-104.726947,3435,1850,0,1850,1585
1081,9889,7/16/2020 12:00,60809509,,80134,Exterior Residential Painting - Exterior Preparation,6720,5875,1095,1,1,,39.52575,-104.807996,6620,4498.5,756.23,5254.73,1365.27
1082,10011-1,,67349681,,80134,Interior Painting-Walls,8960,7840,1120,0,,,39.52575,-104.807996,6620,4498.5,756.23,5254.73,1365.27
1083,10011-2,,67351348,,80134,Kitchen Cabinet Preparation,3460,3050,410,0,,,39.52575,-104.807996,6620,4498.5,756.23,5254.73,1365.27
1084,9853,7/6/2020 14:00,60820685,neighbor getting work done,80014,Exterior Residential Painting - Exterior Preparation,2950,340,2835,1,1,,39.663597,-104.854263,2950,1500,0,1500,1450
1085,9849,7/6/2020 11:30,60866781,,80016,Exterior Residential Painting - Exterior Preparation,5915,4440,1725,1,1,,39.58932,-104.742215,5915,3750,2517.75,6267.75,-352.75
1086,9834,7/9/2020 16:00,60908095,,80227,Exterior Residential Painting - Exterior Preparation,3985,3025,960,0,2,,39.658701,-105.093359,,,,,
1087,9854,7/7/2020 14:30,60949317,,80016,Exterior Residential Painting - Exterior Preparation,4460,3365,1095,1,1,,39.606558,-104.694934,5100,3292,209.44,3501.44,1598.56
1088,9838,7/7/2020 16:00,60958028,google,80640,Master Bedroom 2 Coats,2745,2160,585,1,1,,39.901281,-104.870718,3185,2300,0,2313.16,871.84
1089,10098,,71129541,google,80640,,0,0,0,1,,,39.901281,-104.870718,3185,2300,0,2313.16,871.84
1090,9855,7/8/2020 11:30,60975902,no review,80016,Exterior Residential Painting - Exterior Preparation,5130,4175,1155,1,1,,39.598553,-104.690581,4400.37,3034.5,44.6,3079.1,1321.27
1091,9868,7/8/2020 15:30,61056576,,80238,Interior Walls,2245,1680,565,0,1,,39.759426,-104.8872,,,,,
1092,9842,7/9/2020 10:00,61073037,neighbor getting work done,80130,Exterior Residential Painting - Exterior Preparation,4760,3720,1040,1,2,,39.532564,-104.922674,4760,2150,742.62,2892.62,1867.38
1093,9864,7/9/2020 12:30,61080272,,80238,Exterior Residential Painting - Exterior Preparation,4625,3710,1115,1,1,,39.767808,-104.888439,,,,,
1094,9866,7/8/2020 15:30,61090829,,80126,Interior Painting - Walls,2985,2585,400,0,2,,39.543174,-104.981168,,,,,
1095,9844-1,7/10/2020 10:00,61092608,Referral,80130,Interior Painting - Entry/Stairwell/Hall to Kitchen/Upstairs Hall,6885,5395,1490,0,2,,39.539279,-104.931162,,,,,
1096,9844-2,7/10/2020 10:00,61791780,Referral,80130,Install Baseboards - Main Level,4080,4080,0,0,2,,39.539279,-104.931162,,,,,
1097,9844-3,7/10/2020 10:00,61791991,Referral,80130,Cabinets - Cabinet Preparation,2895,2525,370,0,2,,39.539279,-104.931162,,,,,
1098,9844-4,7/10/2020 10:00,61793869,Referral,80130,Re-build island to extend toward family room - PRICE TBD,0,0,0,0,2,,39.539279,-104.931162,,,,,
1099,9845,7/9/2020 10:00,61096818,Referral,80013,Exterior Residential Painting - Exterior Preparation,4990,4090,1100,1,1,,39.651578,-104.776286,,,,,
1100,9846,7/9/2020 11:00,61120708,Nextdoor,80016,Exterior Residential Painting - Exterior Preparation,3930,3030,1100,0,1,,39.624281,-104.701688,,,,,
1101,9847,7/20/2020 15:00,61133011,Angie's list,80220,Interior Painting - Living Room and Eating Area Walls,1220,1220,0,1,2,,39.731264,-104.928512,1200,,60.61,60.61,434.99
1102,9874,7/10/2020 8:00,61190033,,80220,Exterior Residential Painting - Exterior Preparation,4790,3960,1080,0,1,,39.736267,-104.931387,,,,,
1103,10024,9/24/2020 9:00,67500525,,80205,Main Area Painting,2110,1600,510,0,1,,39.757293,-104.976029,,,,,
1104,9852,7/13/2020 13:00,61352494,Referral,80015,Exterior Residential Painting - Exterior Preparation,3165,2760,605,0,1,,39.613509,-104.726474,,,,,
1105,9879,7/13/2020 11:30,61388619,,80016,Exterior Residential Painting - Exterior Preparation,4855,3920,1185,1,1,,39.607466,-104.68885,4855,2300,946.15,3246.15,1608.85
1106,9856,,61390025,no review,80238,Main Area 2 Coats,5470,4720,1050,1,,,39.76498,-104.89529,6051.18,3850,0,3850,2201.18
1107,9882,,61895119,no review,80238,,0,0,0,1,,,39.76498,-104.89529,6051.18,3850,0,3850,2201.18
1108,9857,7/15/2020 14:00,61423473,,80122,Interior Painting - Main Floor Ceilings,4350,4350,0,0,2,,39.593224,-104.923921,,,,,
1109,9877,7/13/2020 15:30,61438260,,80111,Interior Painting - Walls,2440,2070,370,0,2,,39.609972,-104.859072,,,,,
1110,9880,7/13/2020 15:30,61448875,,80238,Exterior Residential Painting - Exterior Preparation,7370,6105,1565,1,1,,39.758185,-104.882964,7370,4100,370.63,4470.63,2899.37
1111,9858,7/13/2020 12:00,61467373,,80021,Exterior Residential Painting - Exterior Preparation,4270,3250,1020,0,2,,39.86957,-105.092137,,,,,
1112,9859,7/14/2020 13:00,61469367,neighbor getting work done,80238,Exterior Residential Painting - Exterior Preparation,5010,3730,1480,1,1,,39.793884,-104.889866,5010,2300,684.86,2984.86,2025.14
1113,9878,7/13/2020 11:30,61471096,,80238,Exterior Residential Painting - Exterior Preparation,5290,4375,915,1,1,,39.762535,-104.894337,5290,3349.92,0,3508.09,1781.91
1114,9860,7/10/2020 13:30,61477326,,80012,Body Shop Lobby and Offices - 2 Coats,3250,2510,740,1,1,,39.693165,-104.866913,3250,,0,0,3250
1115,9861,7/10/2020 11:00,61477769,,80112,Walls,2460,2045,715,1,1,,39.583026,-104.821983,2460,1200,0,1200,1260
1116,10076,,70214115,,80013,Main Area Painting,6935,6235,950,0,,,39.675255,-104.798227,2460,1200,0,1200,1260
1117,9862,7/14/2020 14:00,61482697,,80601,Exterior Residential Painting - Exterior Preparation,3925,3060,1065,1,1,,39.995205,-104.807017,3925,2100,95.94,2313.3,1611.7
1118,9884,7/14/2020 8:00,61501660,,80238,Exterior Residential Painting - Exterior Preparation,4265,3340,1125,0,1,,39.754099,-104.898297,,,,,
1119,9865,7/14/2020 10:00,61518469,Facebook,80126,Exterior Residential Painting - Exterior Preparation,5460,4310,1150,1,2,,39.55571,-104.943956,5460,2300,34.47,2334.47,3125.53
1120,9867-1,7/14/2020 15:00,61540054,,80015,Exterior Residential Painting - Exterior Preparation,4560,3715,1095,1,1,,39.630874,-104.768017,6995,1026,693.6,1719.6,5275.4
1121,9867-2,7/14/2020 15:00,61954329,,80015,Deck,845,845,0,1,1,,39.630874,-104.768017,6995,1026,693.6,1719.6,5275.4
1122,9881-1,7/14/2020 12:30,61587143,,80016,Exterior Residential Painting - Exterior Preparation,5815,4745,1320,0,1,,39.581443,-104.695048,,,,,
1123,9881-2,7/14/2020 12:30,61822529,,80016,Decking,1455,1240,215,0,1,,39.581443,-104.695048,,,,,
1124,9869,7/16/2020 14:30,61675959,Facebook,80219,Exterior Residential Painting - Exterior Preparation,2545,2025,520,0,2,,39.671143,-105.040354,,,,,
1125,9885,7/15/2020 11:30,61691031,,80015,Exterior Residential Painting - Exterior Preparation,4430,3365,1065,0,1,,39.611844,-104.769193,,,,,
1126,9870-1,7/15/2020 12:00,61704937,Referral,80241,Cabinets - Cabinet Preparation  - Kitchen and laundry room,2800,2430,370,1,2,,39.933182,-104.979547,,,,,
1127,9870-2,7/15/2020 12:00,62003461,Referral,80241,Downstairs bathroom cabinets,460,460,0,0,2,,39.933182,-104.979547,,,,,
1128,9870-3,7/15/2020 12:00,62003509,Referral,80241,Upstairs bathroom cabinets,610,610,0,0,2,,39.933182,-104.979547,,,,,
1129,9870-4,7/15/2020 12:00,62034673,Referral,80241,Dining Room Cabinet,640,640,0,0,2,,39.933182,-104.979547,,,,,
1130,9886-1,7/15/2020 11:30,61708562,,80016,Exterior Residential Painting - Exterior Preparation,5050,3885,1165,1,1,,39.558072,-104.71707,,,,,
1131,9886-2,7/15/2020 11:30,62288708,,80016,Rails and Balusters,900,615,285,1,1,,39.558072,-104.71707,,,,,
1132,9886-3,7/15/2020 11:30,62288790,,80016,Front of Home,580,580,0,1,1,,39.558072,-104.71707,,,,,
1133,9886-4,7/15/2020 11:30,81700503,,80016,Split Rail Fencing,990,690,300,1,1,,39.558072,-104.71707,,,,,
1134,9875,7/20/2020 13:00,61741206,Referral,80238,Exterior Residential Painting - Exterior Preparation,4835,3965,1120,1,1,,39.788387,-104.88463,1680,900,0,900,780
1135,9913,,63183013,,80238,Interior Paint Area - 2 Coats,7595,6705,890,0,,,39.788387,-104.88463,1680,900,0,900,780
1136,9876,7/27/2020 12:00,61774791,Referral,80439,Interior Painting - Kitchen - Walls Only,3475,2915,560,1,2,,39.691318,-105.354721,,,,,
1137,9890,7/16/2020 16:00,61792183,,80016,Exterior Residential Painting - Exterior Preparation,4620,3700,1120,0,1,,39.585817,-104.681949,,,,,
1138,9883,7/20/2020 16:00,61895877,Referral,80238,Exterior Residential Painting - Exterior Preparation,4490,3845,1095,1,1,,39.756386,-104.8623,4490,2370,947.42,3317.42,1172.58
1139,9894-1,7/21/2020 10:00,61924663,Referral,80012,Paint Preparation ,1980,1980,0,1,1,,39.71169,-104.834024,5380,2200,589.33,2789.33,2590.67
1140,9894-2,7/21/2020 10:00,62503042,Referral,80012,Exterior Residential Painting - Exterior Preparation,3400,2785,915,1,1,,39.71169,-104.834024,5380,2200,589.33,2789.33,2590.67
1141,9893,7/21/2020 15:30,61997657,,80015,Exterior Residential Painting - Exterior Preparation,4850,3980,1120,1,1,,39.630407,-104.749379,4850,2300,499.63,2799.63,2050.37
1142,9887,7/20/2020 14:00,62068912,,80204,Interior Painting - Living Room,1770,1380,390,0,2,,39.732495,-105.026513,900,,0,0,900
1143,9966,,65654415,,80204,"Painting quotes - Free interior consultation (click ""+""  to add to cart, then click ""next"" to schedule)",7390,6650,1290,0,1,,39.731613,-105.033443,900,,0,0,900
1144,9891,7/20/2020 11:30,62094225,,80020,Exterior Residential Painting - Exterior Preparation,4230,3230,1000,1,2,,39.922401,-105.030648,,,,,
1145,9892-1,7/28/2020 14:00,62352314,Referral,80238,Exterior Residential Painting - Exterior Preparation,4733.37,3840,1142.5,1,1,,39.75841,-104.87307,,,,,
1146,9892-2,7/28/2020 14:00,63073664,Referral,80238,Fence,935.75,985,0,1,1,,39.75841,-104.87307,,,,,
1147,9903,7/27/2020 15:30,62465357,,80136,Exterior Residential Painting - Exterior Preparation,4415,3560,1055,0,1,,39.772947,-104.322179,,,,,
1148,9911,7/28/2020 13:30,62561762,no review,80238,Main Area Painting,6975,6035,940,1,1,,39.756982,-104.880836,7135,4050,1273.67,5323.67,1811.33
1149,9895,,62570867,,80108,Exterior Residential Painting - Exterior Preparation,6620,5000,1620,1,,,39.433728,-104.867447,6620,2500,0,2500,4120
1150,9896,7/28/2020 11:00,62602742,saw sign,80547,Exterior Residential Painting - Exterior Preparation,3990,2985,1005,0,1,,40.512143,-104.950128,,,,,
1151,9912,7/29/2020 14:30,62686417,,80238,Exterior Residential Painting - Exterior Preparation,4495,3400,1095,0,1,,39.755589,-104.890178,,,,,
