,Estimate,Date,HCP Id,Customer Tags,Zip,Description,Amount,Labor,Materials,Win_Loss,Bid Employee,Crew,Latitude,Longitude,Total Income,Subcontractor,Total Supplies,Total Cost of Goods Sold,Net Income
732,9537-1,,54090879,,80526,Main Area Walls and Ceilings,3470,2880,590,0,,,40.540573,-105.119076,,,,,
733,9537-2,,54090903,,80526,Kitchen Cabinets Preparation,3850,3385,465,0,,,40.540573,-105.119076,,,,,
734,9538,,54090906,,80526,,0,0,0,1,,,40.540573,-105.119076,,,,,
735,9548,4/7/2020 17:00,54123207,,80016,Exterior Residential Painting - Exterior Preparation,4295,3680,1055,1,1,,39.596655,-104.693869,,,,,
736,10654-1,6/30/2021 10:30,94413679,,80016,Interior Painting-2 Coats,3667.5,3075,792.5,0,4,,39.596655,-104.693869,,,,,
737,10654-2,6/30/2021 10:30,94960018,,80016,Interior Painting-2 Coats,3447.5,2767.5,880,0,4,,39.596655,-104.693869,,,,,
738,9546,4/7/2020 12:30,54124020,Erik,80130,Exterior Residential Painting - Exterior Preparation,4640,3200,1440,1,2,,39.53237,-104.922668,4640,2250,0,2250,2040.2
739,9541,4/8/2020 8:00,54161687,,80123,"Prepare, paint, fleck and seal garage floor (3 bays, approximately 940 square ft.)",5460,4260,1200,0,2,,39.619079,-105.045394,,,,,
740,9542,,54162737,,80238,Summer Fun,0,0,0,1,,,39.751728,-104.881484,,,,,
741,9580,,55086779,,80238,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,1,,,39.751728,-104.881484,,,,,
742,10607,,93390330,,80014,Interior Paint from water damage,0,0,0,1,1,,39.663852,-104.865464,,,,,
743,10618,,93840033,,80014,Drywall Replacement,18660,18660,0,1,,,39.663852,-104.865464,,,,,
744,9544,,54194155,,80014,Exterior Residential Painting - Exterior Preparation,3810,3535,775,1,,,39.676921,-104.818669,,,,,
745,9545,4/9/2020 17:00,54196363,,80015,Exterior Residential Painting - Exterior Preparation,4890,4205,1085,0,1,,39.614281,-104.775891,,,,,
746,9549,4/9/2020 12:30,54211051,"Erik,Returning Customer",80130,Exterior Residential Painting - Exterior Preparation,5545,4985,1110,1,2,,39.547403,-104.922521,5645,2700,163.88,2863.88,2360.97
747,10615-1,7/1/2021 13:30,93631031,"Erik,Returning Customer",80130,Interior Painting-2 Coats,2973,2043,1080,0,4,,39.547403,-104.922521,5645,2700,163.88,2863.88,2360.97
748,10615-2,7/1/2021 13:30,95102412,"Erik,Returning Customer",80130,Popcorn Ceiling Scrape and Retexture,2640,2640,0,0,4,,39.547403,-104.922521,5645,2700,163.88,2863.88,2360.97
749,9547,4/10/2020 10:00,54270105,Erik,80127,Exterior Residential Painting - Exterior Preparation,3995,3645,800,0,2,,39.573012,-105.115138,,,,,
750,9553,4/10/2020 9:30,54270632,Erik,80123,Prepare Garage Floor for Epoxy,3312,2770,680,0,2,,39.596854,-105.106078,,,,,
751,9551,4/10/2020 8:00,54292570,,80238,Exterior Residential Painting - Exterior Preparation,4695,4100,1095,0,1,,39.763773,-104.89233,,,,,
752,9552,4/10/2020 10:30,54303568,Erik,80021,Exterior Residential Painting - Exterior Preparation,4890,4170,1020,1,1,,39.87188,-105.10514,6730,750,26.16,922.37,5678.83
753,9665,5/18/2020 10:00,56491078,Erik,80021,Interior Painting - Dining Room,1840,1350,490,1,2,,39.87188,-105.10514,6730,750,26.16,922.37,5678.83
754,9559,4/13/2020 11:30,54322139,,80547,Exterior Residential Painting - Exterior Preparation,5490,4375,1115,1,1,,40.533219,-104.947355,5490,2950,714.51,3664.51,1825.49
755,9558,4/14/2020 9:30,54334861,Erik,80130,Exterior Residential Painting - Exterior Preparation,4095,2805,1690,1,2,,39.51719,-104.925262,4095,1650,0,1650,2158.35
756,9565-1,4/16/2020 14:30,54370907,,80134,Exterior Residential Painting - Exterior Preparation,4030,3655,825,0,1,,39.526987,-104.811336,,,,,
757,9565-2,4/16/2020 14:30,54772049,,80134,Gutters,1880,1880,0,0,1,,39.526987,-104.811336,,,,,
758,9550,4/11/2020 9:00,54394187,Erik,80130,Exterior Residential Painting - Exterior Preparation,4435,3405,1030,0,2,,39.532175,-104.9226,,,,,
759,9555,4/13/2020 10:30,54396536,,80238,Kitchen Cabinet Preparation,2690,2230,460,0,1,,39.758708,-104.874437,,,,,
760,9560,4/14/2020 12:30,54411425,,80238,Exterior Residential Painting - Exterior Preparation,4390,3645,1095,0,1,,39.771658,-104.882483,,,,,
761,9563-1,4/15/2020 11:30,54477952,,80134,Exterior Residential Painting - Exterior Preparation,4210,3195,1015,0,1,,39.532201,-104.785531,,,,,
762,9563-2,4/15/2020 11:30,54660289,,80134,Back Deck Rails,2755,2755,0,0,1,,39.532201,-104.785531,,,,,
763,9557,,54478515,,80220,Master Bedroom and hallway area to restroom-2 Coats,8260,7715,945,1,,,39.719717,-104.918488,7360,3500,0,3500,3860
764,9566,4/17/2020 14:30,54562583,,80602,Exterior Residential Painting - Exterior Preparation,4690,4135,1055,1,1,,39.932277,-104.896428,4690,,0,0,4690
765,9567,4/17/2020 11:30,54582647,no review,80015,Exterior Residential Painting - Exterior Preparation,4205,3145,1060,1,1,,39.622921,-104.768569,4205,2689,1278.87,3967.87,237.13
766,9561-1,7/8/2020 8:15,54604935,,80210,Bedroom Addition Prime,3690,3010,680,1,1,1,39.660964,-104.944546,10040,5860,1559.29,7419.29,2620.71
767,9561-2,7/8/2020 8:15,54605048,,80210,Exterior Fascia,375,265,110,0,1,1,39.660964,-104.944546,10040,5860,1559.29,7419.29,2620.71
768,9561-3,7/8/2020 8:15,69876116,,80210,,0,0,0,1,1,1,39.660964,-104.944546,10040,5860,1559.29,7419.29,2620.71
769,9562-1,4/20/2020 10:00,54642262,,80017,Exterior Residential Painting - Exterior Preparation,3510,2655,855,0,1,,39.690934,-104.773781,,,,,
770,9562-2,4/20/2020 10:00,54653936,,80017,Concrete Seal,2320,1780,540,0,1,,39.690934,-104.773781,,,,,
771,9619,4/21/2020 14:30,54713707,,80015,Exterior Residential Painting - Exterior Preparation,4480,3780,1100,1,1,,39.612666,-104.780783,4845,2250,733.13,2983.13,1861.87
772,9597-1,4/27/2020 10:30,54769742,,80238,Exterior Residential Painting - Exterior Preparation,4295,3475,1170,1,1,,39.796715,-104.885827,5690,850,468.22,1318.22,4371.78
773,9597-2,4/27/2020 10:30,55348361,,80238,Main Area-2 Coats,2935,2465,720,0,1,,39.796715,-104.885827,5690,850,468.22,1318.22,4371.78
774,9597-3,4/27/2020 10:30,55706517,,80238,Front Porch and Fire Pit,1395,985,410,1,1,,39.796715,-104.885827,5690,850,468.22,1318.22,4371.78
775,10065,,69595862,,80238,Garage Floor,3765,2820,945,0,,,39.796715,-104.885827,5690,850,468.22,1318.22,4371.78
776,9579-1,4/21/2020 13:30,54792400,,80238,Exterior Residential Painting - Exterior Preparation,4375,3630,1045,1,1,,39.763893,-104.882543,,,,,
777,9579-2,4/21/2020 13:30,55030838,,80238,Metal Roof ,995,725,270,0,1,,39.763893,-104.882543,,,,,
778,9568-1,4/22/2020 10:00,54845935,Erik,80123,Exterior Residential Painting - Exterior Preparation,6270,4680,1590,1,2,,39.625456,-105.080195,,,,,
779,9568-2,4/22/2020 10:00,55013744,Erik,80123,Lime Wash Brick,2675,1725,950,0,2,,39.625456,-105.080195,,,,,
780,9592,4/22/2020 17:00,54898056,,80238,Fence,1245,880,365,0,1,,39.755862,-104.860417,,,,,
781,9569-1,5/5/2020 11:00,54917127,,,"Interior Painting - Paint walls of Great Room (Living, Dining), Stairwell",3900,3180,720,1,2,,0,0,3900,1675,0,1675,1952
782,9569-2,5/5/2020 11:00,55982572,,,Paint all three sections of popcorn ceilings,2960,2960,0,0,2,,0,0,3900,1675,0,1675,1952
783,9570,4/21/2020 10:00,54919027,Erik,80126,Exterior Residential Painting - Exterior Preparation,3890,2910,980,0,2,,39.523719,-104.948192,,,,,
784,9590-1,4/24/2020 15:30,54932567,Erik,80128,Exterior Residential Painting - Exterior Preparation,5220,4165,1055,0,2,,39.55699,-105.102534,,,,,
785,9590-2,4/24/2020 15:30,55204798,Erik,80128,Interior Preparation,8465,7035,1430,0,2,,39.55699,-105.102534,,,,,
786,9571,4/22/2020 17:30,54938591,,80238,Fencing,1445,1105,340,0,1,,39.755441,-104.859233,,,,,
787,9572,4/22/2020 11:00,54941864,,80012,Exterior Residential Painting - Exterior Preparation,3960,3070,890,1,1,,39.684034,-104.860448,3960,,0,0,3960
788,9573,4/23/2020 14:00,54970146,Erik,80465,Exterior Residential Painting - Exterior Preparation,7340,5260,2080,0,2,,39.563618,-105.221406,,,,,
789,9587,4/23/2020 15:00,54974149,,80134,Exterior Residential Painting - Exterior Preparation,3475,2785,940,0,1,,39.516309,-104.783042,,,,,
790,9574,,54977405,Nextdoor,80112,Custom Services - Custom design job ,1480,1200,280,0,1,,39.578071,-104.840253,,,,,
791,9575,,54978273,,80011,Exterior Residential Painting - Exterior Preparation,3945,2950,995,0,,,39.731683,-104.792144,,,,,
792,9576,,54978362,,80134,Interior Main Area-2 Coats,2395,1880,515,0,,,39.515119,-104.799895,,,,,
793,9577,4/22/2020 16:00,54979038,,80238,Exterior Residential Painting - Exterior Preparation,4350,3305,1045,0,1,,39.76311,-104.886111,,,,,
794,9602-1,4/28/2020 15:30,54992048,,80130,Exterior Residential Painting - Exterior Preparation,3920,2990,930,0,2,,39.529531,-104.93115,,,,,
795,9602-2,4/28/2020 15:30,55504221,,80130,Prepare and Re-stain Deck surface and rails,415,415,0,0,2,,39.529531,-104.93115,,,,,
796,9591,4/24/2020 10:30,54994834,,80238,Exterior Residential Painting - Exterior Preparation,3915,3040,945,1,1,,39.750226,-104.893547,3845,1900,9.01,1984.01,1860.99
797,9578,4/24/2020 9:00,55022881,Facebook,80126,Exterior Residential Painting - Exterior Preparation,4975,3825,1150,0,2,,39.553046,-104.966997,,,,,
798,9626,4/29/2020 15:30,55072235,no review,80228,Exterior Residential Painting - Exterior Preparation,3425,2620,805,1,2,,39.675732,-105.142179,3550,1625,0,1700,1601.5
799,9581,,55087081,,80014,,0,0,0,0,,,39.663852,-104.865464,,,,,
800,9583,4/24/2020 12:00,55121765,Facebook,80126,Exterior Residential Painting - Exterior Preparation,3999.99,2969.99,1030,1,2,,39.538713,-104.959039,4099.99,2100,0,2100,1712.99
801,9770,,59010713,Facebook,80126,Re-finish front door,320,280,40,0,,,39.538713,-104.959039,4099.99,2100,0,2100,1712.99
802,9584,4/28/2020 9:00,55141032,,80016,Exterior Residential Painting - Exterior Preparation,2985,2445,840,0,1,,39.626435,-104.69899,,,,,
803,9585,4/28/2020 15:00,55148583,google,80126,Exterior Residential Painting - Exterior Preparation,3795,2815,980,0,2,,39.522203,-104.956118,,,,,
804,9586,4/27/2020 9:00,55161976,Referral,80016,Exterior Residential Painting - Exterior Preparation,3835,2795,1040,1,1,,39.580572,-104.697041,,,,,
805,9596,4/27/2020 12:30,55166315,,80031,Exterior Residential Painting - Exterior Preparation,3920,3235,985,1,2,,39.908771,-105.049562,3870,1750,762.1,2512.1,1087
806,9588-1,,55201190,,80016,Exterior Residential Painting - Exterior Preparation,5990,4575,1415,0,,,39.600953,-104.674866,,,,,
807,9588-2,,55201253,,80016,Back Decking Balusters,2095,1805,290,0,,,39.600953,-104.674866,,,,,
808,9589,,55201711,,80016,,0,0,0,1,,,39.600953,-104.674866,,,,,
809,9614,4/30/2020 13:30,55280293,,80015,Exterior Residential Painting - Exterior Preparation,3175,2680,845,0,1,,39.625289,-104.759586,,,,,
810,9593,4/28/2020 13:00,55292236,Advertising,80127,Exterior Residential Painting/Staining - Exterior Preparation,5940,4400,1540,0,2,,39.550113,-105.186864,,,,,
811,9594,4/28/2020 10:30,55308324,neighbor getting work done,80230,Exterior Residential Painting - Exterior Preparation,4820,3745,1075,1,1,,39.715862,-104.89806,4820,2450,547.37,2997.37,1822.63
812,9595,4/30/2020 14:30,55318170,,80015,Exterior Residential Painting - Exterior Preparation,4245,3580,1065,0,1,,39.619723,-104.795598,,,,,
813,9606,4/29/2020 14:30,55335514,,80125,Exterior Residential Painting - Exterior Preparation,3645,2655,990,0,2,,39.473777,-105.069684,,,,,
814,9598,4/28/2020 14:30,55349098,,80238,Exterior Residential Painting - Exterior Preparation,4345,3595,1000,1,1,,39.76493,-104.894618,4045,2450,0,2450,1595
815,9599,4/28/2020 14:00,55349181,,80238,Exterior Residential Painting - Exterior Preparation,4380,3590,1040,1,1,,39.764602,-104.895507,4540,3035,0,3035,1505
816,9613,4/30/2020 8:00,55401825,,80134,Exterior Residential Painting - Exterior Preparation,4275,3720,1055,0,1,,39.522712,-104.825187,,,,,
817,9600,4/29/2020 13:00,55425687,BNI,80014,Exterior Residential Painting - Exterior Preparation,2990,2490,850,1,1,,39.663651,-104.85375,2990,1722,574.57,2399.18,590.82
818,9601,6/24/2020 12:00,55492901,,80228,Cabinets - Cabinet Preparation - Kitchen and Master Bath,5120,4385,735,1,2,,39.675807,-105.17462,5480,2390,0,2390,2706.4
819,9628,4/30/2020 15:00,55500930,,80033,Family Room,6825,6585,240,0,2,,39.764573,-105.130229,,,,,
820,9603,5/4/2020 13:00,55511237,Referral,80130,Exterior Residential Painting - Exterior Preparation,6170,4040,2130,0,2,,39.532388,-104.925017,,,,,
821,9604,,55511736,,80016,Exterior stair case,655,655,0,1,1,,39.567636,-104.692377,655,1610,0,1610,-955
822,9691,5/27/2020 11:00,57019541,,80015,Deck and Stair Prep,2600,2600,0,1,1,,39.622139,-104.746903,655,1610,0,1610,-955
823,9605,5/1/2020 13:00,55530323,,80015,Exterior Residential Painting - Exterior Preparation,5310,4815,995,1,1,,39.621184,-104.781271,5310,3550,1223.77,4773.77,536.23
824,10124,11/24/2020 8:00,72317193,,80015,Acoustic Ceiling Removal ,6260,5180,1430,0,1,,39.621184,-104.781271,5310,3550,1223.77,4773.77,536.23
825,9636-1,5/4/2020 12:30,55556766,,80130,Exterior Residential Painting - Exterior Preparation,3790,2850,940,0,2,,39.549169,-104.926868,,,,,
